Rank; University; Size; M10; G10; P10; C40; C60; C80; USN; Scholar; ID
53; Michigan State University  ; 31; 96; 9.695373e+01; 0.506828; 16; 7; 2; 2.800000; 2.970167; 45
54; Virginia Tech  ; 43; 7.850000e+01; 7.923433e+01; 0.465386; 19; 10; 1; 3.100000; 2.968661; 167
55; Washington University in St. Louis  ; 25; 96; 1.120320e+02; 0.540983; 13; 6; 5; 3.100000; 2.941235; 170
56; Vanderbilt University  ; 21; 113; 1.099858e+02; 0.559910; 12; 5; 1; 2.800000; 2.939750; 165
57; Arizona State University  ; 59; 6.950000e+01; 7.350980e+01; 0.453467; 19; 11; 2; 3.000000; 2.938458; 2
58; Texas A&M University - College Station  ; 42; 76; 7.350976e+01; 0.445985; 21; 8; 1; 3.100000; 2.925662; 80
59; University of Texas - Dallas  ; 50; 72; 5.369656e+01; 0.406988; 23; 10; 1; 2.400000; 2.906660; 154
60; George Mason University  ; 41; 7.950000e+01; 6.918587e+01; 0.455978; 20; 7; 3; 2.500000; 2.885573; 28
61; North Carolina State University  ; 49; 62; 6.290459e+01; 0.415376; 18; 11; 1; 3.000000; 2.859561; 56
62; University of Pittsburgh  ; 18; 109; 1.020603e+02; 0.537133; 10; 4; 1; 2.900000; 2.839578; 145
63; College of William and Mary  ; 15; 118; 9.403938e+01; 0.529088; 8; 4; 2; 2.400000; 2.799934; 15
64; Rensselaer Polytechnic Institute  ; 24; 7.950000e+01; 9.084376e+01; 0.490949; 11; 6; 3; 2.900000; 2.792859; 71
65; University of Notre Dame  ; 19; 95; 8.619121e+01; 0.486006; 9; 4; 2; 2.700000; 2.731300; 141
66; Dartmouth College  ; 21; 8.650000e+01; 9.576475e+01; 0.513846; 10; 3; 3; 3.100000; 2.720566; 20
67; Portland State University  ; 22; 8.950000e+01; 5.637836e+01; 0.444576; 10; 7; 3; 0.000000; 2.711335; 68
68; University of Maryland - Baltimore County  ; 25; 71; 8.811555e+01; 0.490947; 10; 5; 4; 2.400000; 2.710109; 122
69; Lehigh University  ; 16; 73; 9.351541e+01; 0.515984; 9; 4; 1; 2.100000; 2.684150; 41
70; University of Illinois - Chicago  ; 31; 66; 7.404726e+01; 0.458296; 10; 6; 3; 2.700000; 2.673442; 114
71; University of Texas - Arlington  ; 26; 74; 6.319037e+01; 0.427756; 12; 5; 1; 2.200000; 2.671872; 152
72; University of Florida  ; 41; 5.050000e+01; 6.148327e+01; 0.413872; 12; 8; 2; 3.000000; 2.653644; 109
73; University of Nebraska - Lincoln  ; 28; 71; 6.537488e+01; 0.431039; 10; 5; 1; 2.400000; 2.633239; 133
74; University of Central Florida  ; 36; 53; 5.802146e+01; 0.402739; 11; 8; 1; 2.200000; 2.632727; 100
75; Temple University  ; 22; 72; 6.025476e+01; 0.432159; 10; 5; 3; 2.000000; 2.617597; 79
76; CUNY Graduate School and University Center  ; 78; 2.850000e+01; 3.041333e+01; 0.277851; 22; 10; 2; 2.300000; 2.603797; 9
77; University of South Florida  ; 21; 6.250000e+01; 5.859588e+01; 0.416395; 8; 5; 1; 2.100000; 2.537229; 148
78; University of Delaware  ; 24; 67; 6.279993e+01; 0.438468; 8; 3; 1; 2.400000; 2.505462; 107
79; Illinois Institute of Technology  ; 18; 6.450000e+01; 5.666457e+01; 0.383108; 8; 3; 0; 2.100000; 2.473043; 33
80; University of Missouri  ; 15; 66; 5.586637e+01; 0.417793; 6; 3; 1; 2.100000; 2.429565; 131
81; Case Western Reserve University  ; 18; 71; 6.172588e+01; 0.442342; 6; 2; 0; 2.400000; 2.429371; 12
82; Worcester Polytechnic Institute  ; 27; 57; 5.558999e+01; 0.371348; 7; 3; 0; 2.200000; 2.418756; 174
83; University of Houston  ; 24; 60; 5.451311e+01; 0.359123; 11; 1; 0; 2.100000; 2.413936; 112
84; Wayne State University  ; 20; 65; 6.857072e+01; 0.433033; 7; 1; 1; 2.000000; 2.404367; 171
85; New Jersey Institute of Technology  ; 29; 49; 4.097863e+01; 0.345835; 9; 4; 0; 2.200000; 2.401261; 51
86; University of Memphis  ; 11; 72; 6.364212e+01; 0.433741; 4; 2; 1; 0.000000; 2.385706; 127
87; University of New Mexico  ; 17; 55; 6.510027e+01; 0.414553; 6; 2; 1; 2.300000; 2.383132; 136
88; Drexel University  ; 19; 54; 6.532670e+01; 0.417221; 6; 2; 0; 2.200000; 2.380020; 22
89; Tufts University  ; 16; 6.150000e+01; 6.410936e+01; 0.398616; 5; 2; 2; 2.400000; 2.378514; 83
90; West Virginia University  ; 21; 6.050000e+01; 3.891611e+01; 0.338792; 8; 2; 0; 2.000000; 2.341832; 172
91; Brandeis University  ; 14; 59; 3.416264e+01; 0.389790; 6; 4; 0; 2.300000; 2.341568; 6
92; University of Iowa  ; 20; 5.550000e+01; 5.921691e+01; 0.382947; 5; 2; 0; 2.600000; 2.337286; 116
93; Brigham Young University  ; 31; 4.950000e+01; 3.935324e+01; 0.338165; 7; 3; 1; 2.200000; 2.318991; 7
94; Oregon State University  ; 36; 57; 4.748598e+01; 0.325955; 8; 1; 0; 2.500000; 2.314525; 66
95; University of Kansas  ; 23; 46; 4.716029e+01; 0.320345; 5; 3; 0; 2.300000; 2.289898; 117
96; Georgia State University  ; 19; 45; 4.974545e+01; 0.360040; 6; 2; 1; 2.000000; 2.281971; 31
97; University of Connecticut  ; 24; 60; 5.005151e+01; 0.345536; 5; 1; 0; 2.300000; 2.265287; 106
98; University of Texas - San Antonio  ; 24; 5.750000e+01; 4.293936e+01; 0.346077; 6; 1; 1; 0.000000; 2.250735; 156
99; University of Georgia  ; 21; 51; 4.781499e+01; 0.340175; 4; 2; 0; 2.200000; 2.244758; 110
100; University at Albany - SUNY  ; 18; 58; 4.906335e+01; 0.339249; 4; 1; 0; 2.100000; 2.225075; 84
101; Iowa State University  ; 27; 42; 4.529389e+01; 0.332598; 5; 2; 1; 2.600000; 2.223903; 36
102; Syracuse University  ; 26; 38; 3.430067e+01; 0.325683; 6; 3; 2; 2.500000; 2.220019; 78
103; Clemson University  ; 33; 5.350000e+01; 4.201726e+01; 0.302245; 5; 1; 1; 2.300000; 2.205177; 14
104; Florida International University  ; 29; 51; 2.704428e+01; 0.323326; 6; 2; 0; 0.000000; 2.197753; 26
105; University of Kentucky  ; 23; 45; 3.179054e+01; 0.320701; 4; 3; 1; 2.200000; 2.184503; 118
106; Binghamton University - SUNY  ; 27; 51; 4.369414e+01; 0.347147; 4; 1; 0; 2.000000; 2.174188; 4
107; Missouri University of Science & Technology  ; 16; 52; 4.262237e+01; 0.323709; 4; 1; 1; 2.000000; 2.173423; 48
108; University of Hawaii - Manoa  ; 24; 36; 2.688299e+01; 0.273036; 6; 3; 0; 0.000000; 2.170776; 111
109; University of Oregon  ; 15; 43; 5.812627e+01; 0.369459; 3; 1; 0; 2.600000; 2.167756; 143
110; University of South Carolina  ; 25; 33; 4.217435e+01; 0.307444; 7; 1; 1; 2.100000; 2.164017; 147
111; Louisiana State University - Baton Rouge  ; 19; 47; 3.833495e+01; 0.346652; 3; 2; 1; 2.100000; 2.153071; 42
112; Florida State University  ; 22; 44; 3.698997e+01; 0.302372; 5; 1; 0; 2.300000; 2.141920; 27
113; Stevens Institute of Technology  ; 14; 4.450000e+01; 4.429612e+01; 0.310198; 3; 1; 1; 2.100000; 2.117150; 76
114; Florida Atlantic University  ; 31; 2.550000e+01; 2.627238e+01; 0.267057; 6; 3; 0; 0.000000; 2.111998; 24
115; University of Massachusetts - Lowell  ; 15; 42; 2.252125e+01; 0.290199; 4; 2; 0; 0.000000; 2.078206; 126
116; George Washington University  ; 15; 32; 3.324766e+01; 0.265520; 3; 2; 0; 2.300000; 2.058204; 29
117; DePaul University  ; 50; 19; 2.183496e+01; 0.224024; 6; 3; 1; 0.000000; 2.045060; 21
118; University of Massachusetts - Boston  ; 15; 41; 4.308235e+01; 0.302081; 5; 0; 0; 0.000000; 2.030059; 125
119; Colorado School of Mines  ; 9; 58; 4.786959e+01; 0.340766; 2; 0; 0; 2.100000; 2.022379; 16
120; University of Tulsa  ; 13; 32; 3.485327e+01; 0.254238; 3; 1; 0; 0.000000; 2.013755; 157
121; University of Alabama  ; 16; 25; 2.522813e+01; 0.310577; 4; 2; 1; 0.000000; 2.008431; 86
122; Virginia Commonwealth University  ; 17; 36; 3.739498e+01; 0.289511; 2; 1; 0; 0.000000; 2.007845; 166
123; University of Alabama - Birmingham  ; 9; 37; 3.994106e+01; 0.283458; 1; 1; 0; 0.000000; 1.974757; 87
124; Old Dominion University  ; 15; 3.850000e+01; 2.813563e+01; 0.258919; 2; 1; 0; 0.000000; 1.971871; 64
125; Washington State University  ; 17; 34; 1.968653e+01; 0.301852; 4; 1; 1; 2.400000; 1.969597; 169
126; Naval Postgraduate School  ; 18; 33; 3.174641e+01; 0.268538; 2; 1; 1; 2.400000; 1.964591; 50
127; University of Maine  ; 6; 4.950000e+01; 3.360959e+01; 0.289815; 3; 0; 0; 0.000000; 1.960759; 121
128; University of Arkansas - Fayetteville  ; 16; 32; 2.231952e+01; 0.257232; 2; 2; 0; 0.000000; 1.958315; 90
129; Kansas State University  ; 15; 43; 3.241583e+01; 0.289176; 3; 0; 0; 2.200000; 1.926805; 38
130; University of Oklahoma  ; 15; 38; 3.912792e+01; 0.264726; 2; 0; 0; 2.000000; 1.898756; 142
131; University of North Carolina - Charlotte  ; 20; 3.850000e+01; 2.902639e+01; 0.272485; 3; 0; 0; 2.100000; 1.888226; 139
