name,affiliation,homepage,scholarid,company
Alexander Wong,University of Waterloo,https://www.eng.uwaterloo.ca/~a28wong/,i7h8-dYAAAAJ
David A. Clausi,University of Waterloo,https://uwaterloo.ca/vision-image-processing-lab/people-profiles/david-clausi,Q5qzD7EAAAAJ
John S. Zelek,University of Waterloo,http://www.eng.uwaterloo.ca/~jzelek/,NOSCHOLARPAGE
Gregory Dudek,McGill University,https://www.cim.mcgill.ca/~dudek/,BSORuFoAAAAJ
Tim D. Barfoot,University of Toronto,http://asrl.utias.utoronto.ca/~tdb/,N_vPIhoAAAAJ
Paul W. Fieguth,University of Waterloo,https://uwaterloo.ca/systems-design-engineering/profile/pfieguth,TObmBfYAAAAJ
Steven Lake Waslander,University of Toronto,http://wavelab.uwaterloo.ca/?page_id=593,CwgGTXMAAAAJ
