name,year,dblp name
Yan-Bin Jia,1997,Yan-Bin Jia
Todd Jochem,1996,Todd Jochem
Andrew Johnson,1997,Andrew E. Johnson 0002
Edward Jones,2009,Edward Gil Jones
Heather Jones,2016,Heather L. Jones
Hanbyul Joo,2019,Hanbyul Joo
Nidhi Kalra,2006,Nidhi Kalra
Hongwen Kang,2012,Hongwen Kang
Sing Bing Kang,1994,Sing Bing Kang
Lalitesh Katragadda,1997,Lalitesh Katragadda
Alonzo Kelly,1995,Alonzo Kelly
Natasha Kholgade,2015,Natasha Kholgade
Harry K.H. Kim,1992,
Jin-Oh Kim,1992,Jin-Oh Kim
Sung Kyun Kim,2019,Sung-Kyun Kim
Jennifer King,2016,Jennifer E. King
Rachel Kirby,2010,Rachel Kirby
Matthew Klingensmith,2016,Matthew Klingensmith
Ross Alan Knepper,2011,Ross A. Knepper
Heather Knight,2016,Heather Knight
Chen Kong,2019,Chen Kong
Sanjeev Jagannatha Koppal,2009,Sanjeev J. Koppal
Max Korein,2021,Max Korein
G. Ayorkor Korsah,2011,Ayorkor Korsah
Michael Koval,2016,Michael C. Koval
Tomas Simon Kreuz,2017,Tomas Simon
Murali Krishna,1999,Murali Krishna
John Krumm,1993,John Krumm
Jeremy Martin Kubica,2005,Jeremy Kubica
Sanjiv Kumar,2005,Sanjiv Kumar
In So Kweon,1991,In-So Kweon
Jean-Francois Lalonde,2011,Jean-François Lalonde
Dirk Langer,1997,Dirk Langer
Tom Lauwers,2010,Tom Lauwers
Keith Lay,2000,N. Keith Lay
Christopher Lee,2000,Christopher Lu
Patrick (Chris) Leger,1999,Patrick C. Leger
Kevin Lenzo,2016,Kevin A. Lenzo
Marius Leordeanu,2009,Marius Leordeanu
Jacqueline Libby,2019,Jacqueline Libby
Somchaya Liemhetcharat,2013,Somchaya Liemhetcharat
Chen-Hsuan Lin,2021,Chen-Hsuan Lin
Wen-Chieh Lin,2005,Wen-Chieh Lin
Jyi Shane Liu,1996,Jyi-Shane Liu
Lingzhi Luo,2014,Lingzhi Luo
Wenhao Luo,2021,Wenhao Luo
Kevin Lynch,1996,Kevin M. Lynch
Maxim Makatchev,2013,Maxim Makatchev
Tomasz Malisiewicz,2011,Tomasz Malisiewicz
Zita Marinho,2018,Zita Marinho
Eric Markvicka,2018,Eric Markvicka
Martin C. Martin,2001,William C. Martin
William Martin,2019,William C. Martin
Tejas Sudharshan Mathai,2019,Tejas Sudharshan Mathai
Pyry K. Matikainen,2012,Pyry Matikainen
Daniel Maturana,2021,Daniel Maturana
Bruce Maxwell,1996,Bruce A. Maxwell
Matthew McNaughton,2011,Matthew McNaughton
Nicholas Melchior,2011,Nik A. Melchior
Juan Pablo Mendoza,2017,Juan Pablo Mendoza
Marek Piotr Michalowski,2009,Marek P. Michalowski
Philipp Michel,2008,Philipp Michel
James Ryan Miller,2002,James Ryan Miller
Pragyana Mishra,2005,Pragyana Mishra
Ishan Misra,2018,Ishan Misra
Derek Mitchell,2020,Derek Mitchell
Jayanth Krishna Mogali,2021,Jayanth Krishna Mogali
Anahita Mohseni Kabir,2021,Anahita Mohseni-Kabir
Michael Montemerlo,2003,Michael Montemerlo
Stewart Moorehead,2001,Stewart J. Moorehead
Andrew Mor,2001,Andrew B. Mor
Aaron Christopher Morris,2007,Aaron Morris
Daniel D. Morris,2001,Daniel D. Morris
James Morrow,1997,J. Daniel Morrow
Daniel Munoz,2013,Daniel Munoz
Adithyavairavan Murali,2020,Adithyavairavan Murali
John Murphy,1998,John Murphy 0003
Bart Nabbe,2005,Bart C. Nabbe
Umashankar Nagarajan,2012,Umashankar Nagarajan
Sasanka Nagavalli,2018,Sasanka Nagavalli
Venkatraman Narayanan,2017,Venkatraman Narayanan
Michael Nechyba,1998,Michael C. Nechyba
Bradley Nelson,1995,Bradley J. Nelson
Yuriy Nevmyvaka,2005,Yuriy Nevmyvaka
Minh Hoai Nguyen,2011,Minh Hoai
Jiang Ni,2007,Jiang Ni
Stefanos Nikolaidis,2017,Stefanos Nikolaidis
Daniel Nikovski,2002,Daniel Nikovski
Mark Ollis,1997,Mark Ollis
Zachary Omohundro,2009,Zachary Omohundro
Nathan Otten,2018,Nathan D. Otten
Mark Palatucci,2011,Mark Palatucci
Jiyan Pan,2014,Jiyan Pan
Caroline Pantofaru,2008,Caroline Pantofaru
Robert Paolini,2018,Robert Paolini
Dhiraj Pathak,1993,Dhiraj K. Pathak
Nicholas Patronik,2008,Nicholas A. Patronik
George Paul,1997,George V. Paul
Liam Pedersen,2000,Liam Pedersen
Michael Phillips,2015,Michael Phillips
Joelle Pineau,2004,Joelle Pineau
Lerrel Pinto,2019,Lerrel Pinto
Mikhail Pivtoraiko,2012,Mihail Pivtoraiko
Arthur Quaid,2000,Arthur E. Quaid
Akshara Rai,2018,Akshara Rai
Varun Ramakrishna,2015,Varun Ramakrishna
Arun Srivatsan Rangaprasad,2018,Rangaprasad Arun Srivatsan
Nathan Ratliff,2009,Nathan D. Ratliff
Nicholas Rhinehart,2019,Nicholas Rhinehart
Alberto Rodriguez,2013,Alberto Rodriguez
David Rollinson,2014,David Rollinson
Julio Rosenblatt,1997,Julio Rosenblatt
Stephane Ross,2013,Stéphane Ross
Maayan Roth,2007,Maayan Roth
Patrick Rowe,1999,Patrick Rowe
Nicholas Roy,2003,Nicholas Roy
Lisa Saksida,1999,Lisa M. Saksida
Siddharth Sanan,2013,Siddharth Sanan
Scott Satkin,2013,Scott Satkin
Yoichi Sato,1997,Yoichi Sato
Alexander Schepelmann,2016,Alexander Clifford Schepelmann
Sebastian Scherer,2010,Sebastian A. Scherer
Henry Schneiderman,2000,Henry Schneiderman
Devin Schwab,2020,Devin Schwab
Sergio Sedas-Gersey,1993,
Neal Seegmiller,2014,Neal Seegmiller
Brennan Peter Sellner,2009,Brennan Sellner
Young-Woo Seo,2012,Young-Woo Seo
Gary Shaffer,1995,Gary Shaffer
Kumar Shaurya Shankar,2020,Kumar Shaurya Shankar
Damion Michael Shelton,2007,Damion Shelton
Kimberly Shillcutt,2000,Kimberly J. Shillcutt
Michael Shomin,2016,Michael Shomin
Abhinav Shrivastava,2017,Abhinav Shrivastava
Roberto Shu,2022,Roberto Shu
Heung-Yeung Shum,1996,Harry Shum
Sajid Siddiqi,2009,Sajid M. Siddiqi
Gunnar Sigurdsson,2020,Gunnar A. Sigurdsson
David Silver,2010,David Silver
David Simon,1996,David A. Simon
Sanjiv Singh,1995,Sanjiv Singh
Sarjoun Skaff,2007,Sarjoun Skaff
Krzysztof Skonieczny,2013,Krzysztof Skonieczny
Jeffrey Smith,2003,Jeffrey Smith
Trey Smith,2007,Trey Smith
Boris Sofman,2010,Boris Sofman
Fredric Solomon,1996,Fredric Solomon
Seungmoon Song,2017,Seungmoon Song
Alvaro Soto,2002,Alvaro Soto
Alexander Spitzer,2022,Alexander Spitzer
