,Rank, University, Size, M10, G10, P10, C40, C60, C80, USN, Scholar, ID,University,ID,school
44,45, Ohio State University  ,42,94.5,90.40181,0.5112399999999999,21,10,3,3.3,3.0815810000000003,62,Ohio State University,62,Ohio State University
45,46, Indiana University - Bloomington  ,46,87.0,79.54263,0.488516,21,11,3,2.9,3.04346,35,Indiana University - Bloomington,35,Indiana University
46,47, University of Utah  ,43,93.0,82.31175999999999,0.514901,20,10,2,3.1,3.038029,158,University of Utah,158,University of Utah
47,48, Colorado State University  ,21,107.0,110.182,0.5615,15,7,1,2.4,3.025012,17,Colorado State University,17,Colorado State University
48,49, University of Colorado - Boulder  ,34,108.0,99.76414,0.53835,15,8,3,3.1,3.020968,103,University of Colorado - Boulder,103,University of Colorado Boulder
49,50, University of Rochester  ,19,117.0,124.3503,0.6030840000000001,11,6,3,2.9,2.9990959999999998,146,University of Rochester,146,University of Rochester
50,51, University at Buffalo - SUNY  ,37,109.0,97.17089,0.522183,13,8,2,2.6,2.983763,85,University at Buffalo - SUNY,85,University at Buffalo
51,52, University of Tennessee - Knoxville  ,24,113.0,113.8146,0.544886,12,6,2,2.4,2.977528,151,University of Tennessee - Knoxville,151,University of Tennessee
52,53, Michigan State University  ,31,96.0,96.95373000000001,0.506828,16,7,2,2.8,2.970167,45,Michigan State University,45,Michigan State University
53,54, Virginia Tech  ,43,78.5,79.23433,0.46538599999999997,19,10,1,3.1,2.968661,167,Virginia Tech,167,Virginia Tech
54,55, Washington University in St. Louis  ,25,96.0,112.032,0.540983,13,6,5,3.1,2.941235,170,Washington University in St. Louis,170,Washington University in St. Louis
55,56, Vanderbilt University  ,21,113.0,109.9858,0.55991,12,5,1,2.8,2.93975,165,Vanderbilt University,165,Vanderbilt University
56,57, Arizona State University  ,59,69.5,73.5098,0.453467,19,11,2,3.0,2.9384580000000002,2,Arizona State University,2,Arizona State University
57,58, Texas A&M University - College Station  ,42,76.0,73.50976,0.445985,21,8,1,3.1,2.925662,80,Texas A&M University - College Station,80,Texas A&M University
58,59, University of Texas - Dallas  ,50,72.0,53.69656,0.406988,23,10,1,2.4,2.90666,154,University of Texas - Dallas,154,University of Texas at Dallas
59,60, George Mason University  ,41,79.5,69.18587,0.455978,20,7,3,2.5,2.885573,28,George Mason University,28,George Mason University
60,61, North Carolina State University  ,49,62.0,62.90459,0.415376,18,11,1,3.0,2.8595610000000002,56,North Carolina State University,56,North Carolina State University
61,62, University of Pittsburgh  ,18,109.0,102.0603,0.537133,10,4,1,2.9,2.839578,145,University of Pittsburgh,145,University of Pittsburgh
62,63, College of William and Mary  ,15,118.0,94.03938000000001,0.529088,8,4,2,2.4,2.799934,15,College of William and Mary,15,College of William and Mary
63,64, Rensselaer Polytechnic Institute  ,24,79.5,90.84376,0.49094899999999997,11,6,3,2.9,2.792859,71,Rensselaer Polytechnic Institute,71,Rensselaer Polytechnic Institute
64,65, University of Notre Dame  ,19,95.0,86.19121,0.48600600000000005,9,4,2,2.7,2.7313,141,University of Notre Dame,141,University of Notre Dame
65,66, Dartmouth College  ,21,86.5,95.76475,0.513846,10,3,3,3.1,2.720566,20,Dartmouth College,20,Dartmouth College
