rank,school, Faculty ,M10,G10,P10,C40,C60,C80,usnews, Scholar
90,University of Connecticut,24,60,50,0.35,5,1,0,2.3,2.3
90,University of Iowa,20,56,59,0.38,5,2,0,2.6,2.3
90,University of Kansas,23,46,47,0.32,5,3,0,2.3,2.3
90,University of Texas at San Antonio,24,58,43,0.35,6,1,1,0,2.3
90,West Virginia University ,21,61,39,0.34,8,2,0,2,2.3
99,Binghamton University,27,51,44,0.35,4,1,0,2,2.2
99,Clemson University,33,54,42,0.3,5,1,1,2.3,2.2
99,Florida International University,29,51,27,0.32,6,2,0,0,2.2
99,Iowa State University,27,42,45,0.33,5,2,1,2.6,2.2
99,Louisiana State University - Baton Rouge ,19,47,38,0.35,3,2,1,2.1,2.2
99,Missouri University of Technology,16,52,43,0.32,4,1,1,2,2.2
99,Syracuse University ,26,38,34,0.33,6,3,2,2.5,2.2
99,University at Albany - SUNY ,18,58,49,0.34,4,1,0,2.1,2.2
99,University of Georgia,21,51,48,0.34,4,2,0,2.2,2.2
99,University of Hawaii at Manoa,24,36,27,0.27,6,3,0,0,2.2
99,University of Kentucky,23,45,32,0.32,4,3,1,2.2,2.2
99,University of Oregon,15,43,58,0.37,3,1,0,2.6,2.2
99,University of South Carolina,25,33,42,0.31,7,1,1,2.1,2.2
112,Florida Atlantic University ,31,26,26,0.27,6,3,0,0,2.1
112,Florida State University,22,44,37,0.3,5,1,0,2.3,2.1
112,George Washington University,15,32,33,0.27,3,2,0,2.3,2.1
112,Stevens Institute of Technology,14,45,44,0.31,3,1,1,2.1,2.1
112,University of Massachusetts Lowell,15,42,23,0.29,4,2,0,0,2.1
117,Colorado School of Mines,9,58,48,0.34,2,0,0,2.1,2
117,DePaul University ,50,19,22,0.22,6,3,1,0,2
117,Naval Postgraduate School ,18,33,32,0.27,2,1,1,2.4,2
117,Old Dominion University,15,39,28,0.26,2,1,0,0,2
117,University of Alabama ,16,25,25,0.31,4,2,1,0,2
117,University of Alabama - Birmingham ,9,37,40,0.28,1,1,0,0,2
117,University of Arkansas,16,32,22,0.26,2,2,0,0,2
117,University of Maine ,6,50,34,0.29,3,0,0,0,2
117,University of Massachusetts Boston,15,41,43,0.3,5,0,0,0,2
117,University of Tulsa ,13,32,35,0.25,3,1,0,0,2
117,Virginia Commonwealth University,17,36,37,0.29,2,1,0,0,2
117,Washington State University,17,34,20,0.3,4,1,1,2.4,2
129,Claremont Graduate University ,6,38,45,0.31,1,0,0,0,1.9
129,Kansas State University,15,43,32,0.29,3,0,0,2.2,1.9
129,New Mexico State University,13,56,31,0.28,1,0,0,0,1.9
129,Oakland University ,14,30,28,0.25,1,1,0,0,1.9
129,University of Colorado - Colorado Springs ,12,21,27,0.24,2,1,0,0,1.9
129,University of Nevada - Reno ,18,21,29,0.24,2,1,0,0,1.9
129,University of North Carolina - Charlotte ,20,39,29,0.27,3,0,0,2.1,1.9
129,University of Oklahoma ,15,38,39,0.26,2,0,0,2,1.9
129,University of Texas - El Paso ,15,25,25,0.23,2,1,0,0,1.9
138,Oregon Health and Science University ,8,35,37,0.26,1,0,0,2.2,1.8
138,University of Cincinnati ,20,28,24,0.23,1,1,1,2,1.8
138,University of Denver,8,47,29,0.28,1,0,0,0,1.8
138,University of Louisiana - Lafayette ,22,15,23,0.25,3,1,1,0,1.8
138,University of Louisville ,15,21,14,0.21,3,1,0,0,1.8
138,University of North Texas,27,37,26,0.24,2,0,0,0,1.8
138,University of Wisconsin - Milwaukee ,12,36,32,0.24,1,0,0,0,1.8
138,Utah State University ,14,30,24,0.24,3,0,0,0,1.8
146,Auburn University,17,22,21,0.2,1,0,0,2.2,1.7
146,Florida Institute of Technology ,20,17,13,0.17,1,1,1,0,1.7
146,Kent State University ,19,11,11,0.19,2,1,0,0,1.7
146,Texas Tech University ,17,14,20,0.2,1,1,0,0,1.7
146,University of Alabama - Huntsville ,16,24,24,0.2,1,0,0,0,1.7
146,University of Arkansas - Little Rock ,8,14,16,0.15,1,1,0,0,1.7
146,University of New Orleans ,11,26,20,0.21,1,0,0,0,1.7
153,Mississippi State University ,17,18,19,0.18,1,0,0,0,1.6
153,Montana State University ,9,30,28,0.18,0,0,0,0,1.6
153,Southern Methodist University ,12,16,12,0.18,2,0,0,2,1.6
153,University of Mississippi ,8,18,11,0.19,1,0,0,0,1.6
153,University of Missouri - Kansas City ,19,22,17,0.17,1,0,0,0,1.6
153,University of Wyoming ,6,20,19,0.13,1,0,0,0,1.6
153,Western Michigan University ,13,19,11,0.15,1,0,0,0,1.6
160,Air Force Institute of Technology ,12,19,19,0.12,0,0,0,0,1.5
160,Michigan Technological University ,16,18,18,0.12,0,0,0,0,1.5
160,North Dakota State University ,7,18,15,0.13,0,0,0,0,1.5
160,Towson University ,28,10,12,0.13,1,0,0,0,1.5
160,University of Idaho ,13,19,11,0.14,0,0,0,0,1.5
160,University of Southern Mississippi ,13,7,10,0.15,2,0,0,0,1.5
166,New Mexico Institute of Mining and Technology ,7,11,11,0.07,0,0,0,0,1.4
166,Nova Southeastern University ,26,1,5,0.1,1,1,0,0,1.4
166,Oklahoma State University ,12,17,12,0.12,0,0,0,0,1.4
166,University of Colorado - Denver ,10,8,12,0.09,0,0,0,0,1.4
166,University of Nebraska - Omaha ,17,13,9,0.1,0,0,0,0,1.4
171,Louisiana Tech University ,6,7,5,0.08,0,0,0,0,1.3
172,Indiana State University ,7,0,2,0.06,0,0,0,0,1.1
172,LIU Post ,4,0,1,0.01,0,0,0,0,1.1
